original_sha256,additional_source_sha256,normalized_notebook,status,note
36d9d9fa923a9c9b66e1bab352ddaa83ed52bdb99b9b7517c3ccc60564282c4e,,notebooks/00_fig1_extended_data1.ipynb,INCLUDED_SOURCE_DATA_REDRAW,12 code cells; 0 workbook-writing cells omitted
73c50336e866e5d71fdc1bf2e5029df419b60d5871b495b6aadc0ffb9a18aa70,,notebooks/01_extended_data2_beta1_erp.ipynb,INCLUDED_SOURCE_DATA_REDRAW,20 code cells; 0 workbook-writing cells omitted
d10b1aee1eb98413c4e8c163a3b3a38915a07ca9d344c997ccc9e527105f6d43,,notebooks/02_extended_data3_high_gamma_erp.ipynb,INCLUDED_SOURCE_DATA_REDRAW,16 code cells; 0 workbook-writing cells omitted
16eb35a898b3ed8185e6f365e92b4a2fe4fd394c2541908b2fe3e3cdc5b9aab2,,notebooks/11_fig5_spectrogram_source_data.ipynb,INCLUDED_SOURCE_DATA_REDRAW,5 code cells; 0 workbook-writing cells omitted
db30963e7cd362fb58e035c059e3889eeb3b733d242884f052a8250f36436414,,notebooks/03_fig2_fig3_beta1_spatial.ipynb,INCLUDED_SOURCE_DATA_REDRAW,23 code cells; 1 workbook-writing cells omitted
cf8b3005d4e9ae193cb182bb336b7acbaef4a002b973f3542b44e37fa986db46,,notebooks/04_extended_data3_to6_high_gamma_spatial.ipynb,INCLUDED_SOURCE_DATA_REDRAW,20 code cells; 0 workbook-writing cells omitted
6607b698ea11c818751ad73d6f55d5322c19ac55a53a8cb9b991d6a7f063ffe1,,notebooks/05_fig2_fig4_beta1_single_effector.ipynb,INCLUDED_SOURCE_DATA_REDRAW,16 code cells; 0 workbook-writing cells omitted
d8ddd12bf00f5310e4ca2f41d28965e779a73daecd78a7e681c2cce1f0afb482,,notebooks/06_extended_data3_high_gamma_single_effector.ipynb,INCLUDED_SOURCE_DATA_REDRAW,6 code cells; 0 workbook-writing cells omitted
585b00ca884ece03bbb61b74f438a26167014df2234a05fdfa0b87b93d95c165,,notebooks/07_fig3_cross_correlation_beta1.ipynb,INCLUDED_SOURCE_DATA_REDRAW,10 code cells; 0 workbook-writing cells omitted
fdc3e3d6f6814eb6c84b6843b36fc81779b6771a647a29a09b9dfc1cc554e0e5,,notebooks/09_fig5_accuracy_mcd_source_data.ipynb,INCLUDED_SOURCE_DATA_REDRAW,12 code cells; 0 workbook-writing cells omitted
e35578cad2ab014ba0ad5ab698c189c77d9fbce5cdbef4353a04bc85d0093fa7,,notebooks/10_extended_data8_mcd_mos.ipynb,INCLUDED_SOURCE_DATA_REDRAW,6 code cells; 1 workbook-writing cells omitted
e0c4ce3fd9637b4e97e6b649698b546617eb7b68c67523e7212cdb09ae508c75,,,EXCLUDED_BY_SCOPE,Fig. 5 model-inference notebook excluded: the reproducibility package redraws the reported results from Source_Data.xlsx and does not rerun training or inference.
9505f91a123103b45b6b92e507747ebb3546cbe8a364f443bbed3585c1ceb11c,7968f2f3ab68401efab7e40a06a332b716b9f6c3dae0bdea6b8b6098400186d0,notebooks/08_fig5_akt_decoding_source_data.ipynb,INCLUDED_SOURCE_DATA_REDRAW,Fig. 5k-m plotting cells added from the supplemental notebook; all included cells read Source_Data.xlsx only.
